Car Names,Years of Production,Number Of,BodyStyles
   Citroen Grand C4 Picasso PureTech 130 Start,2017 - 2018,5,"MPV
"
   Citroen Dyane 6 Confort,1969 - 1983,5,"Hatchback
"
   Citroen GSA 1130 Special,1979 - 1981,5,"Hatchback
"
   Citroen GSA Break 1130 Special,1979 - 1981,5,"Station wagon
"
   Citroen LNA,1978 - 1983,4,"Sedan
"
   Citroen Visa Special,1979 - 1981,5,"Hatchback
"
   Citroen Visa Special,1981 - 1988,5,"Hatchback
"
   Citroen Visa Decouvrable 11 RE,1984 - 1985,4,"Convertible
"
   Daihatsu Charmant 1600,1980 - 1982,3,"Hatchback
"
   Daihatsu Charmant Combi 1600,1980 - 1982,3,"Hatchback
"
   Daihatsu Charmant 1300 LD Economy,1984 - 1986,4,"Sedan
"
   Ferrari F40,1988 - 1992,2,"Coupe
"
   Ferrari F50,1995 - 1998,2,"Coupe
"
   Ferrari GTC4 Lusso V8,2017 - present,3,"Coupe
"
,,,
,,,
,,,
   Ferrari LaFerrari,2013 - 2015,2,"Coupe
"
   Ferrari Mondial t,1989 - 1993,2,"Coupe
"
   Ferrari Mondial t Cabriolet,1989 - 1993,2,"Convertible
"
   Fiat 500X 1.6 16v 110 Pop,2015 - 2018,5,"SUV
"
   Fiat Argenta 2000,1981 - 1983,4,"Sedan
"
   Fiat Argenta 100,1983 - 1986,4,"Sedan
"
   Fiat Fullback Double Cab 150hp SX,2016 - present,4,"Pick-up
"
   Fiat Regata 70,1984 - 1989,4,"Sedan
"
   Fiat Regata Weekend 70,1985 - 1988,5,"Station wagon
"
   Fiat Ritmo 60 L,1982 - 1983,3,"Hatchback
"
   Fiat Ritmo 60,1983 - 1985,3,"Hatchback
"
   Fiat Ritmo 60 L,1985 - 1988,3,"Hatchback
"
   Fiat Ritmo 60 L,1982 - 1983,5,"Hatchback
"
   Fiat Ritmo 60,1983 - 1985,5,"Hatchback
"
   Fiat Ritmo 60 L,1985 - 1988,5,"Hatchback
"
   Fiat Talento L1H1 1.6 MultiJet 95hp,2016 - 2018,4,"Passenger bus
"
   Fiat Tipo 1.4 16v Pop,2017 - 2019,5,"Hatchback
"
   Fiat Tipo 1.4 16v Pop,2016 - 2018,4,"Sedan
"
   Fiat Tipo Stationwagon 1.4 16v Pop,2017 - 2019,5,"Station wagon
"
   Fiat X 1/9 1500,1979 - 1981,2,"Coupe
"
   Ford Fiesta 1.1 70hp Trend,2017 - 2019,3,"Hatchback
"
   Ford Fiesta 1.0 65hp Ambiente,2014 - 2016,5,"Hatchback
"
   Ford Fiesta 1.1 70hp Trend,2017 - 2019,5,"Hatchback
"
   Ford Focus Wagon 1.0 EcoBoost 100hp Trend,2014 - 2018,5,"Station wagon
"
   Ford Granada 2.0 Custom,1977 - 1981,4,"Sedan
"
   Ford Granada 2.0 Custom,1981 - 1983,4,"Sedan
"
   Ford Granada Stationwagon 2.0 Custom,1977 - 1981,5,"Station wagon
"
   Ford Granada Stationwagon 2.0 Custom,1981 - 1983,5,"Station wagon
"
   Ford Ka+ 1.2 Trend Essential,2016 - 2018,5,"Hatchback
"
   Ford Kuga 1.5 EcoBoost 120hp 2WD Trend Essential,2016 - 2019,5,"SUV
"
   Ford Maverick SWB 2.4i,1993 - 1995,3,"SUV
"
   Ford Maverick SWB 2.4i,1996 - 1998,3,"SUV
"
   Ford Maverick LWB 2.4i,1993 - 1995,5,"SUV
"
   Ford Maverick LWB 2.4i ,1996 - 1998,5,"SUV
"
   Ford Mondeo Wagon 1.0 EcoBoost Trend,2015 - 2017,5,"Station wagon
"
   Ford Probe 16V,1994 - 1997,3,"Coupe
"
   Ford Taunus 1.3 L,1979 - 1982,2,"Sedan
"
   Ford Taunus 1.3 L,1979 - 1982,4,"Sedan
"
   Ford Taunus Stationwagon 1.3 L,1979 - 1982,5,"Station wagon
"
   Ford Transit Kombi L2H2 310 FWD 2.2 TDCi 100hp Ambiente,2014 - 2016,4,"Passenger bus
"
   Honda Aerodeck Estate 2.0i LS,1995 - 1998,5,"Station wagon
"
   Honda Civic 1.4 S,2015 - 2017,5,"Hatchback
"
   Honda Civic 1.0 i-VTEC S,2017 - present,5,"Hatchback
"
   Honda Civic Tourer 1.8 Comfort,2014 - 2015,5,"Station wagon
"
   Honda Civic Tourer 1.8 Comfort,2015 - 2017,5,"Station wagon
"
   Honda CR-Z 1.5 S,2013 - 2014,3,"Coupe
"
   Honda Integra 1.5 Luxe,1986 - 1989,5,"Hatchback
"
   Honda Integra R 1.8i,1998 - 2001,2,"Coupe
"
,,,
,,,
,,,
   Honda Quintet,1980 - 1984,5,"Hatchback
"
   Hyundai i10 1.1i PureVersion,2008 - 2011,5,"Hatchback
"
   Hyundai i10 1.0i i-Drive,2017 - 2020,5,"Hatchback
"
   Hyundai i30 1.0 T-GDI i-Drive,2017 - 2020,5,"Hatchback
"
   Hyundai i40 1.6 GDI Blue Essence,2016 - 2017,4,"Sedan
"
   Hyundai Ioniq 1.6 GDI HEV i-Motion,2016 - 2019,5,"Hatchback
"
   Hyundai Santa Fe 2.2 CRDi R 2WD Comfort,2016 - 2019,5,"SUV
"
   Hyundai Satellite 2.4i GL,1997 - 2000,5,"MPV
"
   Hyundai Stellar 1.6 L,1984 - 1989,4,"Sedan
"
   Kia Niro 1.6 GDi Hybrid Comfortline,2016 - 2019,5,"SUV
"
   Kia Optima SW 2.0 GDi PHEV Business DynamicLine,2018 - 2018,5,"Station wagon
"
   Kia Picanto 1.0 CVVT EconomyLine 4-zits,2017 - 2020,5,"Hatchback
"
   Kia Rio 1.0 T-GDI 100hp EconomyLine,2017 - 2018,5,"Hatchback
"
   Lancia Gamma 2500 F.L.,1981 - 1983,4,"Sedan
"
   Lancia Gamma Coupe 2500 F.L. i.e.,1981 - 1983,2,"Coupe
"
   Lancia HPE 1600,1976 - 1982,3,"Coupe
"
   Lancia HPE 2000 i.e.,1983 - 1985,3,"Coupe
"
   Lancia Monte Carlo,1980 - 1982,2,"Coupe
"
   Lancia Prisma 1.3,1986 - 1988,4,"Sedan
"
   Lancia Trevi 2000,1981 - 1985,4,"Sedan
"
   Land Rover Discovery 2.0 Si4 S,2017 - present,5,"SUV
"
   Mazda 3 SkyActiv-G 1.5 100 S,2016 - 2018,5,"Hatchback
"
   Mazda 3 Sedan SkyActiv-G 1.5 100 TS,2016 - 2018,4,"Sedan
"
   Mazda 929 2.0 DX,1982 - 1984,4,"Sedan
"
   Mazda 929 2.0 DX,1984 - 1987,4,"Sedan
"
   Mazda 929 2.2 LX,1987 - 1990,4,"Sedan
"
   Mazda 929 Coupe 2.0 LTD,1982 - 1984,4,"Sedan
"
   Mazda 929 Legato Sedan,1980 - 1982,4,"Sedan
"
   Mazda 929 Legato Combi,1980 - 1982,4,"Sedan
"
   Mazda 929 Estate 2.0 DX,1982 - 1984,5,"Station wagon
"
   Mazda 929 Estate 2.0 DX,1984 - 1988,5,"Station wagon
"
   Mazda 929 Coupe 2.0i,1984 - 1987,2,"Coupe
"
   Mazda CX-5 SkyActiv-G 165 S,2017 - 2018,5,"SUV
"
   Mazda MX-5 RF SkyActiv-G 131 TS,2017 - 2018,2,"Convertible
"
   Mercedes-Benz AMG GT,2014 - 2017,2,"Coupe
"
   Mercedes-Benz AMG GT Roadster,2016 - 2020,2,"Convertible
"
   Mercedes-Benz B 160,2015 - 2018,5,"MPV
"
   Mercedes-Benz B 250 e,2015 - 2018,5,"MPV
"
   Mercedes-Benz C 160,2015 - 2018,4,"Sedan
"
   Mercedes-Benz C 160 Estate,2015 - 2018,5,"Station wagon
"
   Mercedes-Benz C 180 Coupe,2015 - 2018,2,"Coupe
"
   Mercedes-Benz C 180 Cabriolet,2016 - 2018,2,"Convertible
"
   Mercedes-Benz Citan Tourer L 108 CDI Trend,2013 - 2020,5,"MPV
"
   Mercedes-Benz CLA 180 BE,2013 - 2016,4,"Sedan
"
   Mercedes-Benz CLA 180 BlueEfficiency,2016 - 2018,4,"Sedan
"
   Mercedes-Benz CLA 180 Shooting Brake,2015 - 2016,5,"Station wagon
"
   Mercedes-Benz CLA 180 Shooting Brake,2016 - 2018,5,"Station wagon
"
   Mercedes-Benz CLK 200 Cabriolet Avantgarde,1999 - 2000,2,"Convertible
"
,,,
,,,
,,,
   Mercedes-Benz CLK 200 Kompressor Cabriolet Avantgarde,2003 - 2005,2,"Convertible
"
   Mercedes-Benz CLS 400,2014 - 2016,4,"Sedan
"
   Mercedes-Benz CLS 400 Shooting Brake,2014 - 2016,5,"Station wagon
"
   Mercedes-Benz E 200,2013 - 2016,4,"Sedan
"
   Mercedes-Benz E 200,2016 - 2019,4,"Sedan
"
   Mercedes-Benz E 220 d 4MATIC All-Terrain,2017 - 2020,5,"Station wagon
"
   Mercedes-Benz E 200 Estate,2013 - 2016,5,"Station wagon
"
   Mercedes-Benz E 200 Estate,2016 - 2019,5,"Station wagon
"
   Mercedes-Benz E 200 Coupe,2013 - 2017,2,"Coupe
"
   Mercedes-Benz E 200 Coupe,2017 - 2019,2,"Coupe
"
   Mercedes-Benz E 200 Cabriolet,2013 - 2017,2,"Convertible
"
   Mercedes-Benz G 500,2015 - 2018,5,"SUV
"
   Mercedes-Benz GLA 180,2015 - 2017,5,"Hatchback
"
   Mercedes-Benz GLA 180,2017 - 2018,5,"Hatchback
"
   Mercedes-Benz GLC 250 4MATIC,2015 - 2019,5,"SUV
"
   Mercedes-Benz GLC 250 4MATIC Coupe,2016 - 2019,5,"SUV
"
   Mercedes-Benz GLE 400 4Matic,2015 - 2016,5,"SUV
"
   Mercedes-Benz GLE 400 4Matic Coupe,2015 - 2020,5,"SUV
"
   Mercedes-Benz GLS 400 4MATIC,2015 - 2019,5,"SUV
"
   Mercedes-Benz S 400 h,2013 - 2017,4,"Sedan
"
   Mercedes-Benz S 400 4MATIC Coupe,2015 - 2018,2,"Coupe
"
   Mercedes-Benz S 500 Cabriolet,2016 - 2018,2,"Convertible
"
   Mercedes-Benz SL 400,2016 - 2020,2,"Convertible
"
   Mercedes-Benz SLC 180,2016 - present,2,"Convertible
"
   Mercedes-Benz SLR McLaren,2003 - 2008,2,"Coupe
"
   Mercedes-Benz SLR McLaren Roadster,2007 - 2009,2,"Convertible
"
   Mercedes-Benz V 200 d Kort,2015 - 2019,5,"Passenger bus
"
   Mercedes-Benz Vito Tourer Kort 109 CDI Base,2014 - 2015,4,"Passenger bus
"
   Mitsubishi Cordia 1600 SR,1982 - 1986,3,"Coupe
"
   Mitsubishi Lancer Evolution VII,2001 - 2003,4,"Sedan
"
   Mitsubishi Lancer Evolution VIII,2003 - 2005,4,"Sedan
"
   Mitsubishi Lancer Evolution IX,2005 - 2008,4,"Sedan
"
   Mitsubishi Lancer F 1200 EL,1983 - 1984,4,"Sedan
"
   Mitsubishi Sapporo 2.4i,1987 - 1990,4,"Sedan
"
   Mitsubishi Sapporo 1600 GLX,1981 - 1985,2,"Coupe
"
   Mitsubishi Sigma 3.0i V6 SOHC,1995 - 1996,4,"Sedan
"
   Mitsubishi Sigma Station Wagon 3.0i V6,1993 - 1996,5,"Station wagon
"
   Mitsubishi Space Gear 2.0 GLi,1995 - 1998,5,"MPV
"
   Mitsubishi Starion 2.0 Turbo,1982 - 1985,3,"Coupe
"
   Mitsubishi Tredia 1400 EL,1982 - 1986,4,"Sedan
"
   Nissan Cherry 1000,1982 - 1983,3,"Hatchback
"
   Nissan Cherry 1.0,1985 - 1986,3,"Hatchback
"
   Nissan Cherry 1300 DX,1982 - 1984,5,"Hatchback
"
   Nissan Cherry 1.3 DX,1984 - 1986,5,"Hatchback
"
   Nissan e-Evalia 24 kWh Connect Edition,2014 - 2018,4,"Passenger bus
"
   Nissan Evalia 1.6 Visia,2011 - 2016,4,"Passenger bus
"
   Nissan GT-R Pure,2016 - present,3,"Coupe
"
   Nissan Laurel 2.4,1983 - 1985,4,"Sedan
"
,,,
,,,
,,,
   Nissan Laurel 2.4 SGL,1985 - 1987,4,"Sedan
"
   Nissan Maxima QX 2.0 V6 SLX,1995 - 2000,4,"Sedan
"
   Nissan Maxima QX 2.0 Luxury,2000 - 2003,4,"Sedan
"
   Nissan Micra 1.2 Visia,2013 - 2017,5,"Hatchback
"
   Nissan Micra 1.0 Visia,2017 - 2019,5,"Hatchback
"
   Nissan Navara Double Cab 2.5 dCi XE,2010 - 2014,4,"Pick-up
"
   Nissan Patrol Hardtop GR 2.8 Turbo D,1989 - 1996,3,"SUV
"
   Nissan Patrol Hardtop R 2.8 D,1989 - 1993,3,"SUV
"
   Nissan Patrol Wagon GR 2.8 Turbo D,1989 - 1996,5,"SUV
"
   Nissan Patrol Wagon R 2.8 D,1989 - 1993,5,"SUV
"
   Nissan Prairie 1.5 GL,1983 - 1983,4,"MPV
"
   Nissan Prairie 2.0 SLX,1989 - 1992,5,"MPV
"
   Nissan Silvia 1.8 Turbo,1984 - 1989,3,"Coupe
"
   Nissan Stanza 1.6 Luxe,1983 - 1986,3,"Hatchback
"
   Nissan Stanza 1.8 GL,1983 - 1986,5,"Hatchback
"
   Nissan Stanza 1.6 GL,1983 - 1986,4,"Sedan
"
   Nissan Terrano II 2.4 LX,1993 - 1995,3,"SUV
"
   Nissan Terrano II 2.4 S,1998 - 1999,3,"SUV
"
   Nissan Terrano II 2.4 Comfort,2000 - 2002,3,"SUV
"
   Nissan Terrano II 2.4 LX,1993 - 1995,5,"SUV
"
   Nissan Terrano II 2.4 S,1998 - 1999,5,"SUV
"
   Nissan Terrano II 2.4 Comfort,2000 - 2002,5,"SUV
"
   Opel Astra Sports Tourer 1.0 Turbo Edition,2016 - 2017,5,"Station wagon
"
   Opel Commodore 2.5 S De Luxe,1979 - 1982,4,"Sedan
"
   Opel Commodore Voyage 2.5 S De Luxe,1979 - 1982,5,"Station wagon
"
   Opel Crossland X 1.2 Selection,2017 - 2018,5,"SUV
"
   Opel Insignia Grand Sport 1.5 Turbo 140hp Ecotec Online Ed.,2017 - 2019,5,"Hatchback
"
   Opel Insignia Sports Tourer 1.5 Turbo 140hp Ecotec Online Ed.,2017 - 2019,5,"Station wagon
"
   Opel Karl Rocks 1.0 Online Edition,2017 - 2019,5,"Hatchback
"
   Opel Mokka X 1.6 Selection,2016 - 2018,5,"SUV
"
   Opel Monterey RS 3.2i 24V,1992 - 1998,3,"SUV
"
   Opel Monterey LTD 3.2i 24V,1992 - 1998,5,"SUV
"
   Opel Zafira 1.4 Turbo 120hp Business+,2016 - 2017,5,"MPV
"
   Peugeot 2008 Access 1.2 Puretech 82,2016 - 2017,5,"SUV
"
   Peugeot 305,1978 - 1982,4,"Sedan
"
   Peugeot 305 GL 1.3,1982 - 1987,4,"Sedan
"
   Peugeot 305 Break GL,1979 - 1982,5,"Station wagon
"
   Peugeot 305 Break GL 1.5,1982 - 1988,5,"Station wagon
"
   Peugeot 504 GR 1.8,1979 - 1982,4,"Sedan
"
   Peugeot 504 Break 1.8,1979 - 1982,5,"Station wagon
"
   Peugeot 504 Coupe,1977 - 1982,5,"Coupe
"
   Peugeot 504 Cabriolet,1977 - 1982,5,"Convertible
"
   Peugeot 505 GL 1.8,1982 - 1985,4,"Sedan
"
   Peugeot 505 GL 1.8,1985 - 1988,4,"Sedan
"
   Peugeot 505 Break GL 2.0,1982 - 1985,5,"Station wagon
"
   Peugeot 505 Break GL 2.0,1985 - 1990,5,"Station wagon
"
   Peugeot 604 SL,1975 - 1981,4,"Sedan
"
   Peugeot Boxer Combi L1H1 330 HDi 110,2013 - 2014,4,"Passenger bus
"
,,,
,,,
,,,
   Peugeot Boxer Combi L1H1 330 HDi 110,2014 - 2015,4,"Passenger bus
"
   Peugeot Expert Combi Compact 1.6 BlueHDi 95,2016 - 2018,4,"Van
"
   Peugeot Traveller Standard 1.6 BlueHDi 95 Business,2016 - 2018,4,"Van
"
   Porsche 911 Carrera Cabriolet,2015 - 2019,2,"Convertible
"
   Porsche Carrera GT,2003 - 2006,2,"Convertible
"
   Porsche Cayman,2013 - 2016,3,"Coupe
"
   Porsche Panamera,2017 - 2019,5,"Hatchback
"
   Renault 20 TL,1977 - 1981,5,"Hatchback
"
   Renault 25 TS,1984 - 1988,5,"Hatchback
"
   Renault 25 TS,1988 - 1990,5,"Hatchback
"
   Renault 30 TX,1979 - 1984,5,"Hatchback
"
   Renault 9 C,1981 - 1984,4,"Sedan
"
   Renault 9 TC,1986 - 1987,4,"Sedan
"
   Renault Alpine V6 GT,1985 - 1990,2,"Coupe
"
   Renault Alpine A310,1977 - 1985,2,"Coupe
"
   Renault Alpine A610,1991 - 1994,2,"Coupe
"
   Renault Clio TCe 90 Energy Authentique,2012 - 2015,5,"Hatchback
"
   Renault Clio TCe 90 Energy Life,2016 - 2019,5,"Hatchback
"
   Renault Clio Estate TCe 90 Energy Authentique,2013 - 2016,5,"Station wagon
"
   Renault Clio Estate TCe 90 Energy Life,2016 - present,5,"Station wagon
"
   Renault Fuego TL,1980 - 1985,3,"Coupe
"
   Renault Kadjar Energy TCe 130 Life,2015 - 2018,5,"SUV
"
   Renault Laguna Coupe dCi 110 Monaco GP,2013 - 2015,3,"Coupe
"
   Renault Megane Estate TCe 115 Energy Authentique,2013 - 2015,5,"Station wagon
"
   Renault Megane Estate TCe 100 Life,2016 - 2018,5,"Station wagon
"
   Renault Megane Coupe TCe 115 Energy Bose,2013 - 2015,3,"Coupe
"
   Renault Megane Coupe-Cabriolet TCe 130 Privilege,2013 - 2013,2,"Convertible
"
   Renault Megane Coupe-Cabriolet TCe 130 Energy Privilege,2014 - 2016,2,"Convertible
"
   Renault Grand Scenic TCe 115 Life,2016 - 2018,5,"MPV
"
   Renault Scenic TCe 115 Life,2016 - 2018,5,"MPV
"
   Renault Sport Spider,1996 - 1998,2,"Convertible
"
   Renault Zoe R90 Entry,2016 - 2018,5,"Hatchback
"
   Rover CityRover 1.4 Solo,2005 - 2005,5,"Hatchback
"
   Rover Estate 2.0 Xi,1992 - 1993,5,"Station wagon
"
   Rover 2300,1981 - 1982,5,"Hatchback
"
   Rover 2000,1982 - 1986,5,"Hatchback
"
   Rover Streetwise 1.4,2003 - 2005,3,"Hatchback
"
   Rover Streetwise 1.4,2003 - 2005,5,"Hatchback
"
   Saab 90,1984 - 1987,2,"Sedan
"
   Seat Fura 900 LE,1984 - 1986,3,"Hatchback
"
   Seat Fura 900 GL,1984 - 1986,5,"Hatchback
"
   Seat Ibiza 1.0 MPI Reference,2015 - 2017,5,"Hatchback
"
   Seat Ibiza ST 1.0 MPI Reference,2015 - 2017,5,"Station wagon
"
   Seat Leon SC 1.8 TSI FR,2017 - 2018,3,"Hatchback
"
   Seat Leon 1.0 EcoTSI Reference,2017 - 2019,5,"Hatchback
"
   Seat Leon ST 1.0 EcoTSI Reference,2017 - 2019,5,"Station wagon
"
   Seat Malaga 1.2 LE,1986 - 1986,4,"Sedan
"
   Seat Ronda 1.2 LE,1983 - 1984,5,"Hatchback
"
,,,
,,,
,,,
   Skoda Forman 1.3 LS,1994 - 1995,5,"Station wagon
"
   Skoda Kodiaq 1.4 TSI Greentech Active,2017 - 2018,5,"SUV
"
   Skoda Octavia 1.0 TSI 115hp Greentech Active,2017 - 2019,5,"Hatchback
"
   Skoda Octavia Combi 1.0 TSI 115hp Greentech Active,2017 - 2019,5,"Station wagon
"
   Ssangyong XLV 1.6 Crystal 2WD,2016 - 2019,5,"SUV
"
   Subaru 1300 DL,1981 - 1986,3,"Hatchback
"
   Subaru 1300,1981 - 1986,4,"Sedan
"
   Subaru 1.3 STD,1985 - 1986,4,"Sedan
"
   Subaru 1600 DL Combi,1979 - 1986,5,"Station wagon
"
   Subaru 1.6 DL Stationwagon,1985 - 1993,5,"Station wagon
"
   Subaru 1600 GFT Hardtop,1979 - 1981,2,"Coupe
"
   Subaru 1.8 XT Turbo,1986 - 1992,2,"Coupe
"
   Subaru 1.6 GL Coupe,1986 - 1993,3,"Coupe
"
   Subaru XV 1.6i Business Edition,2013 - 2015,5,"SUV
"
   Suzuki Baleno 1.2 Comfort,2016 - 2019,5,"Hatchback
"
   Suzuki Cappuccino,1994 - 1995,2,"Convertible
"
   Suzuki Ignis 1.2 Comfort,2016 - 2019,5,"Hatchback
"
   Suzuki Jimny Metal Top 1.3 JX,2012 - 2014,3,"SUV
"
   Suzuki S-Cross 1.0 Boosterjet Comfort,2016 - 2020,5,"SUV
"
   Suzuki SA 310,1983 - 1984,3,"Hatchback
"
   Suzuki SC 100 GX,1979 - 1983,2,"Coupe
"
   Suzuki SJ 410 Q,1982 - 1988,2,"SUV
"
   Suzuki Swift 1.2 Comfort,2014 - 2016,5,"Hatchback
"
   Suzuki Swift 1.2 Comfort,2017 - 2019,5,"Hatchback
"
   Suzuki X-90,1996 - 1997,2,"SUV
"
   Toyota C-HR 1.2T Comfort,2016 - 2020,5,"SUV
"
   Toyota Carina 1.6 DX,1984 - 1986,5,"Hatchback
"
   Toyota Carina 1.6 DL,1984 - 1986,4,"Sedan
"
   Toyota Corolla Liftback 1300 DX,1980 - 1982,3,"Sedan
"
   Toyota Corona Liftback 1800 GL,1979 - 1981,5,"Hatchback
"
   Toyota Corona Liftback 1.8 GL,1981 - 1982,5,"Hatchback
"
   Toyota Cressida L,1977 - 1981,4,"Sedan
"
   Toyota Cressida 2.0 de Luxe,1981 - 1983,4,"Sedan
"
   Toyota Cressida 2.0 DX,1983 - 1985,4,"Sedan
"
   Toyota Cressida 2.0i GL,1985 - 1988,4,"Sedan
"
   Toyota Cressida Combi De Luxe,1977 - 1981,5,"Station wagon
"
   Toyota Cressida Combi 2.0 DX,1983 - 1985,5,"Station wagon
"
   Toyota Cressida Combi 2.4 TD GL,1985 - 1987,5,"Station wagon
"
   Toyota Cressida Hardtop,1977 - 1981,2,"Coupe
"
   Toyota Crown 2.8 Super Saloon,1980 - 1983,4,"Sedan
"
   Toyota Crown 2.8 TC Super Saloon,1983 - 1986,4,"Sedan
"
   Toyota Crown Customwagon 2.8,1980 - 1983,4,"Sedan
"
   Toyota GT86 2.0 D-4S Sport,2016 - 2020,2,"Coupe
"
   Toyota Hilux Dubbele Cabine 2.4 D-4D 4WD Comfort,2016 - 2019,4,"Pick-up
"
   Toyota Land Cruiser 90 3.4 V6,1996 - 1999,3,"SUV
"
   Toyota Land Cruiser 90 3.4 V6,1999 - 2002,3,"SUV
"
   Toyota Land Cruiser 90 Wagon 3.4 V6,1996 - 1999,5,"SUV
"
   Toyota Land Cruiser 90 Wagon 3.4 V6,1999 - 2002,5,"SUV
"
,,,
,,,
,,,
   Toyota Land Cruiser V8 4.7 VVT-i Executive,2008 - 2010,5,"SUV
"
   Toyota Prius 1.8 Plug-in Hybrid Business Plus,2017 - 2018,5,"Hatchback
"
   Toyota Prius+ 1.8 Hybrid Comfort,2015 - 2018,5,"MPV
"
   Toyota Proace Shuttle Compact 1.6 D-4D 95hp Cool Comfort,2016 - 2018,4,"Passenger bus
"
   Toyota Supra 2.8i TC,1982 - 1986,3,"Coupe
"
   Toyota Supra 3.0i,1986 - 1989,3,"Coupe
"
   Toyota Supra 3.0i Turbo,1993 - 1996,3,"Coupe
"
   Toyota Tercel 1.3 De Luxe,1981 - 1982,2,"Hatchback
"
   Toyota Tercel 1.3,1982 - 1984,3,"Hatchback
"
   Toyota Tercel Coupe,1979 - 1981,3,"Hatchback
"
   Toyota Tercel 1.3 De Luxe,1981 - 1982,4,"Hatchback
"
   Toyota Tercel 1.3 DX,1982 - 1985,5,"Hatchback
"
   Toyota Tercel,1979 - 1981,2,"Sedan
"
   Toyota Tercel De Luxe,1979 - 1981,4,"Sedan
"
   Toyota Tercel 1.5 4WD,1983 - 1988,5,"Station wagon
"
   Toyota Tercel Coupe 1.3 De Luxe,1981 - 1982,3,"Coupe
"
   Toyota Yaris 1.0 VVT-i Acces,2017 - 2018,3,"Hatchback
"
   Toyota Yaris 1.0 VVT-i Comfort,2017 - 2018,5,"Hatchback
"
   Volkswagen Golf 1.0 TSI 85hp Trendline,2017 - 2018,3,"Hatchback
"
   Volkswagen e-Golf,2014 - 2016,5,"Hatchback
"
   Volkswagen e-Golf,2017 - 2020,5,"Hatchback
"
   Volkswagen Golf 1.2 TSI 85hp Easyline,2012 - 2014,5,"Hatchback
"
   Volkswagen Golf 1.0 TSI 85hp Trendline,2017 - 2019,5,"Hatchback
"
   Volkswagen Golf Variant 1.2 TSI 85hp Trendline,2013 - 2017,5,"Station wagon
"
   Volkswagen Golf Variant 1.0 TSI 85hp Trendline,2017 - 2017,5,"Station wagon
"
   Volkswagen Multivan 2.0 Trendline,2003 - 2007,5,"Passenger bus
"
   Volkswagen Multivan L1H1 2.0 Comfortline,2010 - 2013,5,"Passenger bus
"
   Volkswagen Multivan L1H1 2.0 TSI 150hp Comfortline,2016 - 2018,5,"Passenger bus
"
   Volkswagen Passat Variant 1.4 TSI 125hp Trendline,2014 - 2018,5,"Station wagon
"
   Volkswagen Polo 1.0 75hp Trendline,2014 - 2015,5,"Hatchback
"
   Volkswagen Up 1.0 60hp take up!,2016 - 2020,3,"Hatchback
"
   Volkswagen e-Up,2016 - 2019,5,"Hatchback
"
   Volkswagen e-Up!,2014 - 2016,5,"Hatchback
"
   Volkswagen Up 1.0 60hp take up!,2016 - 2020,5,"Hatchback
"
   Volvo 345 L,1979 - 1981,5,"Hatchback
"
   Volvo 345 L,1981 - 1982,5,"Hatchback
"
   Volvo 66 L,1978 - 1981,2,"Sedan
"
   Volvo V90 Cross Country T5 AWD,2017 - 2017,5,"Station wagon
"
   Volvo XC60 T4 Momentum,2019 - 2020,5,"SUV
"
   Abarth 695 Biposto,2014 - 2016,3,"Hatchback
"
   Abarth 695 Cabrio 1.4 T-Jet 165 Yamaha,2017 - 2019,3,"Hatchback
"
   Aston Martin DB11 4.0 V8 Volante,2018 - Present,2,"Convertible
"
   Aston Martin Vantage,2018 - Present,2,"Coupe
"
   Audi A1 Sportback 25 TFSI,2019 - 2019,5,"Hatchback
"
   Audi RS3 Sportback 2.5 TFSI quattro,2017 - 2020,5,"Hatchback
"
   Audi RS3 Limousine 2.5 TFSI quattro,2017 - 2020,4,"Sedan
"
   Audi A4 35 TFSI,2018 - 2019,4,"Sedan
"
   Audi A4 Avant 35 TFSI,2018 - 2019,5,"Station wagon
"
,,,
,,,
,,,
   Audi RS4 Avant 2.9 TFSI quattro,2017 - 2018,5,"Station wagon
"
   Audi RS4 Avant 2.9 TFSI quattro,2019 - 2019,5,"Station wagon
"
   Audi RS5 Sportback 2.9 TFSI quattro,2019 - 2019,5,"Hatchback
"
   Audi RS5 Coupe 2.9 TFSI quattro,2017 - 2018,2,"Coupe
"
   Audi A6 45 TFSI Pro Line,2019 - 2020,4,"Sedan
"
   Audi A6 Avant 45 TFSI Pro Line,2019 - 2020,5,"Station wagon
"
   Audi A7 Sportback 45 TFSI Pro Line,2019 - 2020,5,"Hatchback
"
   Audi A8 55 TFSI quattro,2017 - 2019,4,"Sedan
"
   Audi e-tron 50 quattro Launch Edition,2019 - 2020,5,"SUV
"
   Audi Q3 35 TFSI,2018 - 2019,5,"SUV
"
   Audi Q8 55 TFSI e quattro Pro Line,2020 - Present,5,"SUV
"
   Audi R8 Spyder V10 RWD,2017 - present,2,"Convertible
"
   Audi TT Coupe 40 TFSI,2019 - 2019,2,"Coupe
"
   Audi TT Roadster 40 TFSI,2019 - 2019,2,"Convertible
"
   Bentley Bentayga V8,2018 - Present,5,"SUV
"
   Bentley Continental GT 4.0 V8,2020 - Present,2,"Coupe
"
   BMW 218i Coupe,2017 - present,2,"Coupe
"
   BMW 218i Cabrio,2017 - present,2,"Convertible
"
   BMW 216i Active Tourer,2018 - Present,5,"MPV
"
   BMW 216i Gran Tourer,2018 - Present,5,"MPV
"
   BMW 318i,2020 - Present,4,"Sedan
"
